Year,Title,Abstract,Keywords
2000,non-linear modeling of a production process by hybrid bayesian networks," this paper shows how non-linear functions can be approximated by hybrid bayesian networks. the basic idea is to make a piecewise linear approximation with several base points. this approach is applied to an engineering domain and the accuracy is compared to gibbs sampling. great accuracy is shown even at non-continuous functions. due to the general underlying principle,it is possible to adapt this type of network to other domains.  "," probabilistic networks, bayesian learning "
2000,solving the inverse representation problem," in this paper, we present an approach to extract most relevant information from a (semi-)quantitative knowledge base, e.g., from a probability distribution. relevance here is meant with respect to some appropriate inductive inference process, like maximum entropy inference (me-inference) in probabilistics. so in particular, the method developed in this paper is apt to solve the inverse maxent problem, computing from a distribution in a non-heuristic way a set of conditionals that me-represents that distribution. since we only make use of one special characteristic of me-inference, this method may as well be applied to other, similar inference processes.  "," data mining and knowledge discovery, knowledge representation, uncertainty in ai, conditionals, maximum entropy "
2000,empirical comparison of probabilistic and possibilistic markov decision processes algorithms," classical stochastic markov decision processes (mdps) and possibilistic mdps aim at solving the same kind of problems, involvingsequential decision under uncertainty.the underlying uncertainty model(probabilistic / possibilistic) and preference model (reward / satisfaction degree) change, but the algorithms, based on dynamic programming, are similar. so, a question maybe raised about when to prefer one model to another, and for which reasons.the answer may seem obvious when the uncertainty is of an objectivenature (symmetry of the problem, frequentist information) and when theproblem is faced repetitively and rewards accumulate. it is less clearwhen uncertainty and preferences are qualitative, purely subjective and when the problem is faced only once.in this paper we carry out an empirical comparison of both types ofalgorithms (stochastic and possibilistic), in terms of ``quality'' of the solutions, and time needed to compute them. ", uncertainty in ai 
2000,visual design support in dynamic probabilistic networks for driver modelling, understanding inference in probabilistic networks is a crucialpoint during the design phase. their causal structure and locallydefined parameters are intuitive to human experts. the globalsystem induced by the local parameters can lead to results notintended by the human expert. comprehending the behavior ofdynamic probabilistic networks (dpn) for tuning the model isa time consuming task. therefore this paper introduces toolssupporting the design phase. the application of these tools isshown by means of a dpn for human driver modelling. ," probabilistic networks, temporal reasoning, user modeling "
2000,symmetry breaking in constraint programming," we describe a method for symmetry breaking during search  (sbds) in constraint programming.it has the great advantage of not interfering with heuristic choices. it guarantees to return a unique solution from each setof symmetrically equivalent ones,  which isthe one found first by the variable and value ordering heuristics.  we describe an implementation of sbds in ilog solver, and applications to low autocorrelation binary sequences and the  $n$-queens problem.  we discuss how sbds can be applied when there are too many symmetries to reason with individually, and give applications in graph colouring and ramsey theory. "," constraint programming, constraint satisfaction "
2000,towards understanding conceptual differences between minimaxing and product propagation," advantages and disadvantages of minimaxing versus product-propagationback-up rules for game tree searching have been intensively discussedin the literature. so far, examinations have almost exclusively beencarried out through experiments, demonstrating slight superioritiesfor one or the other of these back-up rules, depending on the particular game chosen or on assumptions underlying simulations onabstract game trees. in contrast to these purely quantitativeinvestigations, we aim at elaborating differences in strength of theseback-up rules by characterizing properties of critical situations inwhich the differences between these back-up rules prove relevant.evidence from the examinations carried out suggest that degrees ofquality of the static evaluation function used, ranges of the heuristicvalues associated with the positions compared, and frequencies of valuecombinations are major properties influencing the suitability of eitherback-up rule. the results provide hints for assessing degrees ofcompetence of minimaxing and product propagation, which can be exploited beneficially for motivated combinations of the two back-uprules, according to game tree properties observed in a particular game. "," search, automated reasoning "
2000,towards real-time search with inadmissible heuristics," we discuss the effect of heuristic functionsthat violate admissibility and consistencyon real-time search algorithms.although the flexibility and the leaning abilityof lrta*, the popular real-time search algorithm,makes it an attractive candidate for the genericmodel of intelligent autonomous agents,its behavior is far from rational, in thatit is too optimistic in the face of uncertainty.such behavior is known to be relaxed by incorporatingpessimism into the algorithm, via the use of inadmissible (or overestimating) heuristic functionsand it is also known that the use of such functionsoften improves the performance of real-time search.however, there is no theory that well describes when and why these algorithms benefit from such property of heuristic functions yet.in this paper, as a step towards fully understand and utilize the advantage of such nonstandard heuristic functions,we present several proofs of the properties oflrta* and the moving-target search algorithm, whenthe heuristic function violates admissibility or consistency. "," search, real-time systems "
2000,is there a constrainedness knife-edge?," recent work on search has identified an intriguing feature dubbed theconstrainedness knife-edge by walsh (proc. aaai-98, 406--411)whereby overconstrained problems seem to become on average even moreconstrained as the search goes deeper, while underconstrained onesbecome less constrained. the present paper shows that while theknife-edge phenomenon itself is real, many of the claims that havebeen made about it are incorrect. it is not always associatedwith criticality, it is not a function of the problem so muchas of the algorithm used to solve it, and it does not help toexplain the peculiar hardness of problem instances near phasetransitions. despite the negative findings, the upshot is that walsh'swork has opened a fascinating line of research which will surely repayfurther investigation. ", search 
2000,dynamic user modeling in a web store shell," we describe a framework for the dynamic revision of user models in an adaptive web store shell, which tailors the suggestion of goods, as well as the interaction style, to the characteristics and interests of the individual user.the behavior of the user is monitored, by segmenting it on the basis of the focus spaces explored in the browsing activity, and the actions performed by the user are summarized into abstract facts. these facts are used for revising the user model via the interpretation process performed by a bayesian network which relates user features to user behavior. "," user modeling, intelligent user interfaces "
2000,beat tracking with musical knowledge," when a person taps a foot in time with a piece of music,they are performing beat tracking.beat tracking is fundamental to the understanding of musical structure,and therefore an essential ability for any system which purports to exhibitmusical intelligence or understanding.we present a multiple agent beat tracking system which performs thistask, estimating the locations of musical beats in musical performance data.this approach to beat tracking requires no prior information about theinput data, such as the tempo or time signature; all required information isderived from the performance data.for constant tempo performances, previous beat tracking systems have provedsuccessful; however, these systems fail when there are large variations intempo.we examine the role of musical knowledge in guiding the beat tracking process,and show that a system equipped with knowledge of musical salience is ableto track the beat of music even in the presence of large tempo variations.results are presented for a large corpus of expressively performedclassical piano music (13 complete sonatas), containing a full range oftempos and much variability in tempo within sections.with the musical knowledge disabled, the beats are trackedabout 75% correctly; the inclusion of musical knowledgeraises this figure to over 90%. "," art and music, multi-agent systems "
2000,a frame representation of user requirements for automated data visualization," we propose a new visualization system that automatically creates a graph from a large amount of numerical data corresponding to user's requirements. the system has the following functions:to understand the user's requirements, to select the necessary data from a datatable, to convert and aggregate the selected data to a suitable granularity, and to visualize the data with an appropriate graphical style. in this paper, we introduce a semantic frame in order toformally deal with the user's requirement. the semantic frame consists of two subframes: one is mainly for selecting and restructuring data, and the other is mainly for choosing an appropriate graph-type and emphasizing focal characteristics. we also explain an aggregationalgorithm for making the necessary datatable. with this system, a user only inputs his/her requirements described in natural language, and then he/she is able to get an appropriategraph from an enormous amount of data even if the data granularity is not well suited to therequirement. "," intelligent user interfaces, knowledge representation, knowledge-based systems "
2000,composition through agent negotiation: a step towards fluid interface," one of the next challenges in research on human computerinterfaces (hci) is to give users the means to perceive andmanipulate easily huge quantities of information in the minimumamount of time. intelligent user interfaces (iui) have beenproposed as a means to solve this problem. the intelligencein the interface makes the system more flexible and moreadaptable. one subset of iui is adaptive interfaces. an adaptiveinterface modifies its behaviour according to some definedconstraints (technical, psycho-sensory and user-defined ones) inorder to best satisfy globally all of them. in this paper weintroduce the concept of fluid interfaces, a particular kind ofadaptive interface on which the flow of information composesitself smoothly without any predefined fixed pattern but accordingto several parameters. we introduce the problems raised byself-composition in user interface, then describe our propositionof an agent architecture to achieve fluidity. information ismodelled through agents that negotiate according to technical,psycho-sensory and user-defined constraints in order to compose adynamic display. we detail a prototype that validates the modeland introduce a european project which is derived from the modeland tackles industrial applications. "," intelligent user interfaces, adaptive systems, information presentation, multi-agent systems "
2000,action categorization from video sequences," this article presents a framework for extracting relevantqualitative chunks from a video sequence. the notion of qualitative descriptors, used to perform the qualitative extraction, will be first described.a grouping algorithm operates on the qualitative descriptionsto generate a real-time qualitative segmentation of theimage flow. then, simple pattern recognition methods are used to extract abstract description of basic actions such as ""push"", ""take"" or ""pull"". the method proposed hereprovides an unsupervised learning technique to generateabstract description of actions from a video sequence.  "," perception, qualitative reasoning, signal understanding, vision "
2000,autonomous environment and task adaptation for robotic agents," this paper investigates the problem of improving the performance ofgeneral state-of-the-art robot control systems by autonomouslyadapting them to specific tasks and environments. we proposemodel- and test-based transformational learning (mttl) as acomputational model for performing this task.  mttl uses abstractmodels of control systems and environments in order to proposepromising adaptations. to account for model deficiencies resultingfrom abstraction, hypotheses are statistically tested based onexperimentation in the physical world.we describe xfrm-learn, an implementation of mttl, and apply it to theproblem of indoor navigation.  we present experiments in which xfrm-learn improves the navigation performance of a state-of-the-art high-speed navigation system for a given set of navigation tasks by at least 29 percent. "," robotics, autonomous agents, adaptive systems "
2000,constructing teleo-reactive robot programs," this paper addresses the problem of synthesising programs for teleo-reactive robots. a robot of this kind possesses an internal ruleset, or program, which determines how it reacts to external stimuli. although the robot possesses no inherent goal, its program is designed so as to predispose it towards achieving some overall desired effect, possibly in cooperation with others. it will usually have only a limited perception of the world in which it operates, and its reactive rules will not express any direct link between what it perceives and what its behaviour will achieve. because of this, composing a suitable program by hand can require some ingenuity. this paper presents a formal framework within which such programs may be systematically constructed. it describes such a construction process and illustrates its application, including simulation in a prolog environment. "," cognitive robotics, multi-agent systems, autonomous agents, automated reasoning "
2000,can representation be liberated from symbolism: modeling robot actions with roboticles," since its origins, artificial intelligence has been faced withthe challenge to control robot operations through the so calleddeliberative thinking paradigm. robot actions are governedby a reasoning process which needs robots to acquire informationfrom the environment to update their internal world model causingthe failure to generate an useful action in a finite amount of time.the framework of roboticles, appearing in this paper and borrowedfrom the theory of complex dynamical system, is a tool to deal with quantities like energy} or effort, to symbolize the amountof sensor information a robot is fed with, later dissipated by theaction of its effectors. the dynamical law works as a triggeringmechanism which controls the flow of energy between sensors andeffectors so that its current value can be interpreted, in somesense, as the internal world model handled by the agent.environment changing, detected through sensor signals, results inmoving the representation point of the system on the energy surface.moreover, actions issued by robot effectors dissipate energy in a wayto maintain the working point of the system in a stationary state wherethe energy supplied by sensor signals is balanced by the effortdelivered to the effectors. "," autonomous agents, robotics, dynamical systems, adaptive systems "
2000,a knowledge-based approach for lifelike gesture animation," the inclusion of additional modalities into the communicative behaviorof virtual agents besides speech has moved into focus of human-computer interface researchers, as humans are more likely toconsider computer-generated figures lifelike when appropriate nonverbal behaviors are displayed in addition to speech. in thispaper, we propose a knowledge-based approach for the automatic generation of gesture animations for an articulated figure. it combines a formalism for the representation of spatiotemporal gesture features, methods for planning individual gestural animationsw.r.t. to form and timing, and formation of arm trajectories.finally, enhanced methods for rendering animations from motor programs are incorporated in the execution of planned gestures. the approach is targetted to achieve a great variety of gestures aswell as a higher degree of lifelikeness in synthetic agents. "," lifelike and believable characters, intelligent user interfaces "
2000,on-line model modification for adaptive object recognition," this paper presents and validates a method for adaptive object recognition in image sequences under dynamic perceptual conditions, and consequently, under changing object characteristics. the approach builds a close-loop interaction between object recognition and model modification systems. object recognition applies a modified rbf classifier in order to recognize objects on a current image of a sequence.  the feedback reinforcement generation mechanism evaluates the classification results when compared to the previous images and activates classifier modification, if needed. classifier modification selects a strategy and employs four behaviors in adapting the classifier's structure and parameters. these behaviors include accommodation, translation, generation, and extinction applied to selected classifier components. accommodation modifies the component's boundary/spread. translation shifts a given component over the feature space. generation creates a new component of the rbf classifier. extinction eliminates components that are no longer in use. the evolved rbf model is verified in order to confirm applied model modifications. experimental results are presented for indoor and outdoor image sequences. the approach is validated and compared with traditional non-adaptive methods for object recognition. this validation tracks an error rate, classifier complexity, and the utilization of model modification behaviors over the image sequences.  "," adaptive systems, vision, machine learning, adaptive object recognition "
2000,activity recognition from video sequences using declarative models," we propose here a new approach for video sequence interpretation based on  declarative models of activities. the aim of the video sequence  interpretation is to recognize incrementaly certain situations, like states  of the scene, events and scenarios, in a video stream, in order to  understand what happens in the scene.  the input of the activity  recognition is an {\it a priori} model of the scene and human tracked in  it.  the activity recognition is composed of two subproblems. first,  end-users have to declare all the activities in a configuration phase.  secondly, the declared models must be automatically recognized.  to solve  the first problem, we propose a homogeneous declarative formalism to  describe all the activities (states of the scene, events and scenarios).  the activities are described by the conditions between the objects of the  scene. to solve the second problem, we translate it into a constraints  satisfaction problem. then, we use a classical csp algorithm to recognize  the activities in video sequences. finally, we present some results to show  the robustness of the approach. "," reasoning about actions and change, knowledge-based systems, knowledge representation, vision "
2000,gaining insights into web customers using web intelligence," the web is fast maturing into an important marketing medium that provides businesses with the ability to undertake one-to-one marketing and provide truly personalised services to their customers. log files provide a rich source of information about customers that can be used for achieving these goals. however, the knowledge required to undertake such activity is far removed from what is provided by the current breed of analysis tools for web log files. in this paper we describe an innovative web intelligence tool, easyminer, that provides marketers in e-marketing departments with access to data mining technology that can sift through large amounts of data collected automatically on customer interaction with the businesses web site and bring to light useful marketing knowledge. "," web intelligence, web mining, sequence discovery, web session segmentation "
2000,a dialogue environment for accessing public administration data: the tamic-p system," the purpose of this paper is to show that by a combination of state ofart technologies it is    possible to realize effective   and powerfuldialogue   systems for information-seeking  applications.   tamic-p, aprototype  natural  language based interface  will  be described.  thesystem  is designed to  support  public administration desk  operatorsduring an  information  session with  a  citizen.  three aspects  worktogether  to determine the  system usability: (i)  a strong multimodalapproach, allowing  full  interchangeability between natural  languageand direct  manipulation;  (ii) a robust  dialogue component, allowingcomplex  sequences   of  turns;  (iii) the  adaptive    integration ofdifferent information  sources,  such as  personal  data  and  relatednorms. "," natural language access to databases, dialogue systems, multimodality "
2000,a knowledge-based system for the design of rubber compounds in motor racing," this work presents p-race, a knowledge-based system designed tosupport the formulation of rubber compounds of tyre tread, inorder to take part (and win) in motor racing. because of thedifferent competence involved in the decision making process (thecompound designer and the race engineer), multiple knowledgerepresentations have been adopted, and integrated into a uniquecase-based reasoning (cbr) computational framework. the case-basedapproach captures the episodic knowledge characterising most ofthe race engineer reasoning activity. moreover, a dedicatedrepresentation formalism (abstract compounds machine - acm) hasbeen created in order to allow the core knowledge about rubbercompounds to be explicitly represented, computed and integrated inthe cbr architecture. the most meaningful and innovativecontribution of p-race consists of a general case-basedarchitecture where the adaptation step is performed by the acmchemical formulation model. this system has been developed for themotorsports department of pirelli tyres, where it is currently inuse. "," case-based reasoning, rubber compounds design, abstract compound machine model "
2000,flexible text classification for financial applications: the facile system," this    paper describes  an   advanced system   for multilingual  textclassification adaptable to different user needs.  the system has beeninitially developed  as  an applied  research  project involving  bothresearch centres,  industrial bodies and  end-user organisations.  theproject was a considerable success story in  the     financial  field.three  different successful applications were released at the users' site involved in the project. moreover the system was adopted by the  main italian financial news agency where it is used  to provide classified  news for an  external pay-to-view service.  the system  has been running continuously  since january 1998.   its architecture integrates  modules  based on both someinnovative artificial intelligence methodologies and commercial tools.this   shows  that state-of-the-art ai  techniques  aremature enough to provide real world applications. "," natural language processing, text classification "
2000,personalisation technologies for the digital tv world," the information overload problem is becoming a serious issue on the internet and users are finding it increasingly difficult to quickly locate the right information at the right time. content personalisation techniques may provide a useful solution by enabling information services to respond to the implicit and explicit preferences of individual users. in this paper we describe an innovative personalised tv listings service (ptv), which has been successfully deployed on a number of irish web sites and which has attracted over 15,000 users in the first year of operation. "," information personalisation, case-based reasoning, automated collaborative filtering, intelligent internet applications "
2000,an autonomous cooperative system for material handling applications," the key to the creation of flexible automation is to use inherentredundancy in the capabilities of the system being controlled.this requires the control system to be continuously self-configurableunder varying conditions.  this behavior is expensive and difficult to accomplish using conventional control systems.  in making control systems truly flexible, control hardware, networks, and software willneed to be combined with artificial intelligence capabilities to achieve self-configuration and high flexibility. the ability of the control system to react to and predict changes will ultimately determine the economic viability of that system.  in this paper, an autonomous cooperative system to control material handling systems is presented.  each section of the material handling system is provided with sufficient intelligence and autonomy to flexibly control the operations of the physical equipment.  control is carried out while the overall operation of the system is optimized through cooperation among the controlled sections. the operation of the material handling system is observed during conditions of equipment and product changes.  the results from simulation show how an autonomous cooperative system can be used to reduce the impact of changes in material handling applications. "," autonomy, cooperation, distributed control, negotiation, flexibility, material handling systems "
2000,tiger: continuous diagnosis of gas turbines," the tiger system is in continuous use on 20 gas turbines across four continents.  continuously performing fault diagnosis of industrial gas turbines used for power generation.  tiger receives several hundred data inputs at a once per second interval and performs several layers of fault detection and diagnosis using expert system techniques in a temporal reasoning rulebase.  development of the system has now extended for more than six years and more than 80 man-years.   the diagnostics are supported by an extensive user interface, data archive, trending and display system.  across the 20 current locations, tiger has helped to identify and diagnose over 700 incidents representing 200 different fault categories.  because of the high value of gas turbines and the high expenses in operating them, tiger's benefit is considerable and has been documented at $150,000 or more for many of the locations.  "," diagnosis, knowledge based system, power generation, application "
2000,artificial intelligence techniques for diabetes management: the t-iddm project," we present a successful application of artificial intelligence (ai)methodologies in the context of a telemedicine service for diabeticpatients management, developed within the eu-funded t-iddmproject. the system architecture is distributed, and composed by apatient unit and by a medical unit, connected through atelecommunication link. several ai methods have been exploited toimplement the t-iddm functionality. the data base relies on anexplicit representation of the domain ontology. temporal abstractionsand other intelligent data analysis techniques are used to analyse thepatient's monitoring data; the case based reasoning (cbr) methodologyis applied to perform the knowledge management task. finally, cbr isintegrated with rule based reasoning to provide physicians with amulti-modal reasoning decision support tool. the t-iddm service isbeing tested through a small on field trial in pavia; the firstresults, though preliminary, seem to substantiate the hypothesis thatthe use of an ai-based telemedicine system could present an advantagein the management of type 1 diabetic patients, leading to a more tightcontrol of the patients' metabolic situation, in a cost-effective way. "," intelligent data analysis, case based reasoning, knowledge based systems, telemedicine, diabetes "
2000,autosteve: automated electrical design analysis, (missing) , (missing) 
2000,remote agent: an autonomous control system for the new millennium," on may 17th 1999, the remote agent (ra) became the first artificialintelligence based closed loop autonomous control system to take control of aspacecraft. the ra commanded nasa's new millennium deep space one probe whenit was 65 million miles away from earth. for a period of one week this systemcommanded the ds1's ion propulsion system, its camera, its attitude controland navigation systems. a primary goal of this experiment was to provide anonboard demonstration of spacecraft autonomy. this demonstration included bothnominal operations with goal-oriented commanding and closed-loop planexecution, and fault protection capabilities with failure diagnosis and recov-ery, on-board replanning following unrecoverable failures, and system-levelfault protection.this paper describes the remote agent experiement (rax) and the model basedapproaches to planning and scheduling, plan execution and fault diagnosis andrecovery technologies developed at nasa ames research center and the jetpropulsion laboratory. "," autonomy, closed loop control, constraint-based planning, scheduling, temporal networks "
2000,valens: a knowledge based tool to validate and verify an aion knowledge base," we present valens (valid engineering support), a tool for the validation and verification (v&v) of a knowledgebase (kbs). validation techniques become more and more important when knowledge based systems are widely used to automate business critical processes. the tool we present can be used during and after the development of a kbs and focuses on the logical verification of the kbs. the techniques used to verify a kbs are metarules, an inference engine to verify hypotheses posted by metarules (proof by processing) and metainformation. "," verification, validation, rulebased knowledgebases "
2002,toward an automatically generated theory of coordination — empirical explorations, we define the role and mechanisms of coordination in intelligent agent societies (iass). we then outline our approach and the underlying design principles aimed at the automatic generation of a theory of coordination. such theory would assist in designing new iass and provide trouble-shooting tools for suboptimally functioning iass. we also describe in this paper the decisions that have been made in this endeavor. we have been able to show via a simplified model that the approach is feasible and can produce results. the project is one of the few examples of work in experimental ai. ," multi-agent systems, autonomous agents, distributed ai "
2002,southamptontac: designing a successful trading agent," this paper describes the design, implementation and evaluation of southamptontac, an agent that participated in the second international trading agent competition. in the course of the competition's approximately 600 games, southamptontac achieved the highest mean score and the lowest standard deviation. "," autonomous agents, multi-agent systems, auctions "
2002,multi-agent models for searching pareto optimal solutions to the problem of forming and dynamic restructuring of coalitions," the first part of this paper presents a coalition formation method for multi-agent systems which finds a pareto optimal solution without aggregating the preferences of the agents. this protocol is adapted to problems requiring coordination by coalition formation, where it is undesirable, or not possible, to aggregate the preferences of the agents. the second part proposes an extension of this method enabling dynamic restructuring of coalitions when changes occur in the system.   "," multi-agent systems, distributed ai "
2002,avoiding resource conflicts in intelligent agents," an intelligent agent should be rational, in particularit should at least avoid pursuing goals which are definitely conflicting.  inthis paper we focus on resource conflict in agents that use a planlibrary organised around goals.  we characterise different types of resourcesand define resource requirements summaries.  we give algorithms for derivingresource requirements, using resource requirements  to detect conflict, andmaintaining dynamic updates of resource requirements. we also discuss ways ofresolving resource conflict.  our approach does not represent time, rather itkeeps resource summaries current. this enables an agent's decisions to be madeon the basis of up-to-date information and allows us to develop efficientruntime (online) algorithms.   "," autonomous agents, automated reasoning, multi-agent systems "
2002,polynomial algorithms for clearing multi-unit single-item and multi-unit combinatorial reverse auctions," this paper develops new algorithms for clearing multi-unitsingle-item and multi-unit combinatorial reverse auctions.specifically, we consider settings where bidders submit their bidsin the form of a supply function and the auctions havesub-additive pricing with free disposal. our algorithms are basedon a greedy strategy and we show that they are of polynomialcomplexity. furthermore, we show that the solutions they generateare within a finite bound of the optimal. "," multi-agent systems, autonomous agents "
2002,on modal logic interpretations of games, multi-agent environments comprise decision makers whose deliberationsinvolve reasoning about the expected behaviour of other agents. apposite concepts of rational choice have been studied and formalizedin game theory and our particular interest is with their integration in a logical specification language for multi-agent systems.this paper concerns the logical analysis of the game-theoretical notions of a (subgame perfect) nash equilibrium and that of a (subgame perfect) best response strategy.extensive forms of games are conceived of as kripke frames and aversion of propositional dynamic logic is employed to describe them. we show how formula schemes of our language characterize those classes of frames in which the  strategic choices of the agents can be said to be nash-optimal.our analysis focusses on extensive games of perfect information without repetition. ," multi-agent systems, game theory, dynamic logic, decision theory "
2002,situated cooperative agents: a powerful paradigm for mri brain scans segmentation," to cope with the difficulty of 3d mri brain scans segmentation, specification and instantiation of a priori models should be constrained by local images characteristics. we introduce situated cooperative agents for the extraction of domain and control knowledge from image grey levels. their dedicated behaviours, i.e segmentation of one type of tissue, are dynamically adapted function of their position in the image, topographic relationships and radiometric information gradually gained during local region growing processes. acquired knowledge is gathered and shared via qualitative maps. incremental refinement of the segmentation is obtained through the combination, distribution and opposition of solutions concurrently proposed by the agents. "," autonomous agents, multi-agent systems, vision "
2002,an argumentation-based semantics for agent communication languages," in recent years, the importance of defining a standard framework foragent communication language (acl) has been widely recognized.however, classical proposals (mentalistic semantics and social semantics) fail to meet the objectives of verifiability andflexibility requiered in complex interactions involving heterogenousagents possibly designed by different programmers.in this paper we propose an acl which allows heterogenous agentsto engage flexibly in the different kinds of dialogues identifiedby walton and krabbe. to this end, we propose a two-layered semantics which includes a commitment level and a reasoning level based on argumentation.  "," autonomous agents, argumentation, dialogue "
2002,verification of protocols for automated negotiation ," this paper presents the verifying aspect of our work for verified, unambiguous and sharable protocols with desirable properties to facilitate automated negotiation. a protocol is represented as an abstract theory in a multi-modal meta-language, called anml, thereby enabling the verification and proof of certain protocol correctness properties. furthermore, such logical theories allow the use of ai techniques for reasoning about goal satisfaction. the two case studies discussed in this paper are two protocols proposed in fipa auml, which can be shown to contain errors by using our framework. we provide improved representations in anml and when possible in auml.  "," multi-agent systems, autonomous agents, reasoning about actions and change, verification and validation "
2002,adaptive combination of behaviors in an agent," agents are of interest mainly when confronted with complex tasks. we propose a methodology for the automated design of such agents (in the framework of markov decision processes) in the case where the global task can be decomposed into simpler -possibly concurrent- sub-tasks. this is accomplished by automatically combining basic behaviors using reinforcement learning methods. the main idea is to build a global policy using a weighted combination of basic policies, the weights being learned by the agent (using simulated annealing in our case). these basic behaviors can either be learned or reused from previous tasks since they will not need to be tuned to the new task. furthermore, the agents designed by our methodology are highly scalable as, without further refinement of the global behavior, they can automatically combine several instances of the same basic behavior to take into account concurrent occurences of the same subtask. "," reinforcement learning, reasoning under uncertainty, autonomous agents, reuse of knowledge, machine learning  "
2002,agents and their cities," in this paper we look at the developments of agent technology and the challenges, which will enable agent technology to play a key role in the internet space. this paper describes the design of high-level interoperable agent services through the concept of agentcities, its motivations and drivers. it introduces the different initiatives, which aim at creating an open network of agent platforms, in which complex agent services can be developed, deployed and tested. finally, the key challenges to be addressed to make this initiative a success are evaluated – that of - creating high-level interoperability of heterogeneous services in a dynamic environment to enable large-scale access to e-services within agent environments. "," multi-agent systems, ontologies "
2002,engineering issues in inter-agent dialogues ," this paper presents a logical framework for modeling of complex dialogues between intelligent and autonomous agents. our overall approach builds on the assumption that an agent is composed of a set of modules, each of them conveying the appropriate knowledge to carry out a certain dialogue type, such as deliberation, negotiation, persuasion, etc. much attention has been paid in keeping our framework as operational as possible, in that the architecture of agents and their conversational protocol are thoroughly interrelated. due to the proposed knowledge structure, set of application-independent rules (called dialogue policies) and the combination of backward and forward reasoning, the framework can generate automatic dialogues between agents. "," multi-agent systems, autonomous agents, dialogues between agents, multi-agent communication "
2002,building trading agents: challenges and strategies," with the advent of the internet, trading in electronic market places has become common practice for an increasing number of businesses and individuals. one of the most efficient ways of negotiating for goods and services is via auctions. although implementing an agent to take part in an auction for a single good is relatively simple, developing an agent to participate in simultaneous auctions offering complementary and substitutable goods is a complex task. in this paper we discuss the challenges of the trading agent competition which features a complex benchmark e-market problem and we present the strategies of two agents that participated successfully in the competition, one of them being placed among the eight finalists. "," autonomous agents, game playing, multi-agent systems "
2002,how situated agents can learn to cooperate by monitoring their neighbors' satisfaction," this paper addresses the problem of cooperation between learning situated agents. we present an agent’s architecture based on a satisfaction measure that ensures altruistic behaviors in the system. these cooperative behaviors are obtained by reaction to local signals emitted by the agents following their satisfaction. then, we introduce in this architecture a reinforcement learning module in order to improve individual and collective behaviors. the satisfaction model and the local signals are used to define a compact representation of agents’ interactions and to compute rewards of the behaviors. thus agents learn to select behaviors that are well adapted to their neighbor’s activities. simulations of heterogeneous robots working on a foraging problem demonstrate the interest of the approach. "," autonomous agents, reinforcement learning, multi-agent systems, robotics "
2002,competing in a queue for resource allocations among non-cooperative agents," in this paper, we investigate a multi-agent non-cooperative game for resource allocations based on an m/d/1 queuing model. specifically, agents with common goals to maximize utility are deployed to compete with each other to bid or bribe for quicker service provided by the server. the bid/bribe of each agent in the queue is not revealed, but the outcomes, in terms of the pair of (bid/bribe; total waiting time), are publicly available from the server. agents choose from one of three available strategies: random strategy, nash equilibrium strategy and linear regression strategy, for their decision-makings. bayesian update is integrated into the linear regression technique for searching an optimal bid/bribe. besides, weighted average, second order autoregressive process (ar(2)), and random walk are utilized to predict service speed. after each agent obtained service, it re-evaluates its strategy and adjusts it accordingly. results show that in the long run, the dominant strategy depends on the service speed. when the service speed is low, random strategy dominates the society. but if the service speed is high, linear regression strategy dominates. the model can be extended to study agent-based social simulations and decentralized scheduling for resource allocations in an open multi-agent system. "," multi-agent systems, distributed ai, reasoning about actions and change "
2002,"strong, fuzzy and smooth hierarchical classification for case-based problem solving "," this paper explains how case-based problem solving can have benefitfrom a hierarchical organisation of problems based on a generalityrelation. three adaptation-guided retrieval processes are described.the strong classification in a problem hierarchy is a classicaldeductive process. it is based on the generality relation betweenproblems which organises the hierarchy. the fuzzy classification is afuzzification of the strong classification. it is based on a fuzzygenerality relation between problems, which can be seen as anon-symmetrical similarity measure. the smooth classification extendsthe fuzzy classification: it is also based on a similarity ordissimilarity measure but takes into account problem and solutionadaptation knowledge. these processes have been successfullyimplemented in two case-based reasoning systems: resyn/cbr in thedomain of organic synthesis and kasimir/cbr in the domain of cancertreatment. "," case-based reasoning, reuse of knowledge, automated reasoning, knowledge-based systems "
2002,recommendation engineering," we present a new approach to product recommendation that addresses the limitations of the standard case-based reasoning (cbr) approach of retrieving a list of cases that are most similar to a target query.instead, the target query is used to construct a retrieval network inwhich cases selected for initial presentation to the user are representative of cases that differ from the target query in similar ways. by following links in the retrieval network, the user can examine alternative solutions with no need to await the retrieval of new cases. other advantages of the approach include increased diversity among the cases initially presented to the user and the ability to explain why cases are recommended in much the same way as a human salesperson might explain their relevance.   "," case-based reasoning, information retrieval "
