Year,Title
2000,combining multiple perspectives.
2000,reinforcement learning in pomdp's via direct gradient ascent.
2000,characterizing model erros and differences.
2000,duality and geometry in svm classifiers.
2000,a column generation algorithm for boosting.
2000,disciple-coa: from agent programming to agent teaching.
2000,classification of individuals with complex structure.
2000,convergence problems of general-sum multiagent reinforcement learning.
2000,finding variational structure in data by cross-entropy optimization.
2000,challenges of the email domain for text classification.
2000,query learning with large margin classifiers.
2000,dimension reduction techniques for training polynomial networks.
2000,learning to create customized authority lists.
2000,learning to select text databases with neural nets.
2000,a divide and conquer approach to learning from prior knowledge.
2000,learning in non-stationary conditions: a control theoretic approach.
2000,automatically extracting features for concept learning from the web.
2000,learning to probabilistically identify authoritative documents.
2000,discriminative reranking for natural language parsing.
2000,automatic identification of mathematical concepts.
2000,on-line learning for humanoid robot systems.
2000,using multiple levels of learning and diverse evidence to uncover coordinately controlled genes.
2000,fixed points of approximate value iteration and temporal-difference learning.
2000,hidden strengths and limitations: an empirical investigation of reinforcement learning.
2000,bayesian averaging of classifiers and the overfitting problem.
2000,a unifeid bias-variance decomposition and its applications.
2000,exploiting the cost (in)sensitivity of decision tree splitting criteria.
2000,feature subset selection and order identification for unsupervised learning.
2000,anomaly detection over noisy data using learned probability distributions.
2000,ideal theory refinement under object identity.
2000,bounds on the generalization performance of kernel machine ensembles.
2000,online ensemble learning: an empirical study.
2000,learning subjective functions with large margins.
2000,relative loss bounds for temporal-difference learning.
2000,using error-correcting codes for text classification.
2000,analyzing relational learning in the phase transition framework.
2000,learning multiple models for reward maximization.
2000,enhancing supervised learning with unlabeled data.
2000,learning filaments.
2000,localizing policy gradient estimates to action transition.
2000,learning curved multinomial subfamilies for natural language processing and information retrieval.
2000,correlation-based feature selection for discrete and numeric class machine learning.
2000,empirical bayes for learning to learn.
2000,meta-learning for phonemic annotation of corpora.
2000,an integrated connectionist approach to reinforcement learning for robotic control.
2000,data as ensembles of records: representation and comparison.
2000,why discretization works for naive bayesian classifiers.
2000,experimental results on q-learning for general-sum stochastic games.
2000,learning declarative control rules for constraint-based planning.
2000,approximate dimension equalization in vector-based information retrieval.
2000,estimating the generalization performance of an svm efficiently.
2000,state-based classification of finger gestures from electromyographic signals.
2000,a universal generalization for temporal-difference learning using haar basis functions.
2000,multistage cascading of multiple classifiers: one man's noise is another man's data.
2000,pseudo-convergent q-learning by competitive pricebots.
2000,learning horn expressions with logan-h.
2000,learning bayesian networks for diverse and varying numbers of evidence sets.
2000,detecting concept drift with support vector machines.
2000,a dynamic adaptation of ad-trees for efficient machine learning on large data sets.
2000,voting nearest-neighbor subclassifiers.
2000,algorithm selection using reinforcement learning.
2000,data reduction techniques for instance-based learning from human/computer interface data.
2000,version space algebra and its application to programming by demonstration.
2000,an algorithm for distributed reinforcement learning in cooperative multi-agent systems.
2000,a bayesian approach to temporal data clustering using hidden markov models.
2000,the space of jumping emerging patterns and its incremental maintenance algorithms.
2000,selective voting for perception-like online learning.
2000,an initial study of an adaptive hierarchical vision system.
2000,efficient mining from large databases by query learning.
2000,bootstrap methods for the cost-sensitive evaluation of classifiers.
2000,maximum entropy markov models for information extraction and segmentation.
2000,mixtures of factor analyzers.
2000,"""boosting'' a positive-data-only learner."
2000,machine learning for subproblem selection.
2000,acquisition of stand-up behavior by a real robot using hierarchical reinforcement learning.
2000,learning chomsky-like grammars for biological sequence families.
2000,complete cross-validation for nearest neighbor classifiers.
2000,rates of convergence for variable resolution schemes in optimal control.
2000,a boosting approach to topic spotting on subdialogues.
2000,algorithms for inverse reinforcement learning.
2000,learning probabilistic models for decision-theoretic navigation of mobile robots.
2000,an approach to data reduction and clustering with theoretical guarantees.
2000,comparing the minimum description length principle and boosting in the automatic analysis of discourse.
2000,generalized average-case analyses of the nearest neighbor algorithm.
2000,featureboost: a meta-learning algorithm that improves model robustness.
2000,learning distributed representations by mapping concepts and relations into a linear space.
2000,clustering the users of large web sites into communities.
2000,x-means: extending k-means with efficient estimation of the number of clusters.
2000,a normative examination of ensemble learning algorithms.
2000,meta-learning by landmarking various learning algorithms.
2000,constructive feature learning and the development of visual expertise.
2000,eligibility traces for off-policy policy evaluation.
2000,shaping in reinforcement learning by changing the physics of the problem.
2000,combining reinforcement learning with a local control algorithm.
2000,adaptive resolution model-free reinforcement learning: decision boundary partitioning.
2000,knowledge propagation in model-based reinforcement learning tasks.
2000,image color constancy using em and cached statistics.
2000,learning to fly: an application of hierarchical reinforcement learning.
2000,direct bayes point machines.
2000,achieving efficient and cognitively plausible learning in backgammon.
2000,predicting the generalization performance of cross validatory model selection criteria.
2000,less is more: active learning with support vector machines.
2000,an adaptive regularization criterion for supervised learning.
2000,instance pruning as an information preserving problem.
2000,incremental learning in swiftfile.
2000,using knowledge to speed learning: a comparison of knowledge-based cascade-correlation and multi-task learning.
2000,obtaining simplified rule bases by hybrid learning.
2000,learning to predict performance from formula modeling and training data.
2000,discovering test set regularities in relational domains.
2000,practical reinforcement learning in continuous spaces.
2000,sparse greedy matrix approximation for machine learning.
2000,using learning by discovery to segment remotely sensed images.
2000,multi-agent q-learning and regression trees for automated pricing decisions.
2000,tpot-rl applied to network routing.
2000,a bayesian framework for reinforcement learning.
2000,feature selection and incremental learning of probabilistic concept hierarchies.
2000,efficient learning through evolution: neural programming and internal reinforcement.
2000,selection of support vector kernel parameters for improved generalization.
2000,probabilistic dfa inference using kullback-leibler divergence and minimality.
2000,a comparative study of cost-sensitive boosting algorithms.
2000,discovering the structure of partial differential equations from example behaviour.
2000,support vector machine active learning with application sto text classification.
2000,partial linear trees.
2000,mutual information in learning feature transformations.
2000,local expert autoassociators for anomaly detection.
2000,learning priorities from noisy examples.
2000,hierarchical unsupervised learning.
2000,model selection criteria for learning belief nets: an empirical comparison.
2000,unpacking multi-valued symbolic features and classes in memory-based language learning.
2000,bootstrapping syntax and recursion using alginment-based learning.
2000,an evolutionary approach to evidence-based learning of deterministic finite automata.
2000,locally weighted projection regression: incremental real time learning in high dimensional space.
2000,a quantification of distance bias between evaluation metrics in classification.
2000,discovering homogeneous regions in spatial data through competition.
2000,clustering with instance-level constraints.
2000,using natural language processing and discourse features to identify understanding errors.
2000,solving the multiple-instance problem: a lazy learning approach.
2000,enhancing the plausibility of law equation discovery.
2000,lightweight rule induction.
2000,classification with multiple latent variable models using maximum entropy discrimination.
2000,multi-agent reinforcement leraning for traffic light control.
2000,the effect of the input density distribution on kernel-based classifiers.
2000,combining multiple learning strategies for effective cross validation.
2000,linear discriminant trees.
2000,improving short-text classification using unlabeled data for classification problems.
2000,induction of concept hierarchies from noisy data.
2000,crafting papers on machine learning.
2001,multiple-instance learning of real-valued data.
2001,efficient algorithms for decision tree cross-validation.
2001,learning from labeled and unlabeled data using graph mincuts.
2001,convergence of gradient dynamics with a variable learning rate.
2001,learning an agent's utility function by observing behavior.
2001,a generalized kalman filter for fixed point approximation and efficient temporal difference learning.
2001,a unified loss function in bayesian framework for support vector regression.
2001,boosting with confidence information.
2001,latent semantic kernels.
2001,"filters, wrappers and a boosting-based hybrid for feature selection."
2001,structured prioritised sweeping.
2001,bias correction in classification tree construction.
2001,an efficient approach for approximating multi-dimensional range queries and nearest neighbor classification in large datasets.
2001,a general method for scaling up machine learning algorithms and its application to clustering.
2001,visual development and the acquisition of binocular disparity sensitivities.
2001,relevance feedback using support vector machines.
2001,a theory-refinement approach to information extraction.
2001,learning embedded maps of markov processes.
2001,round robin rule learning.
2001,wbcsvm: weighted bayesian classification based on support vector machines.
2001,reinforcement learning with bounded risk.
2001,learning probabilistic models of relational structure.
2001,hypertext categorization using hyperlink patterns and meta data.
2001,continuous-time hierarchical reinforcement learning.
2001,"evolutionary search, stochastic policies with memory, and reinforcement learning with hidden state."
2001,bayesian approaches to failure prediction for disk drives.
2001,general loss bounds for universal sequence prediction.
2001,expectation maximization for weakly labeled data.
2001,"on no-regret learning, fictitious play, and nash equilibrium."
2001,some theoretical aspects of boosting in the presence of noisy data.
2001,learning to select good title words: an new approach based on reverse information retrieval.
2001,composite kernels for hypertext categorisation.
2001,feature construction with version spaces for biochemical applications.
2001,pairwise comparison of hypotheses in evolutionary learning.
2001,boosting noisy data.
2001,conditional random fields: probabilistic models for segmenting and labeling sequence data.
2001,an improved predictive accuracy bound for averaging classifiers.
2001,adjusting the outputs of a classifier to new a priori probabilities may significantly improve classification accuracy: evidence from a multi-class problem in remote sensing.
2001,estimating a kernel fisher discriminant in the presence of label noise.
2001,collaborative learning and recommender systems.
2001,friend-or-foe q-learning in general-sum games.
2001,using em to learn 3d models of indoor environments with mobile robots.
2001,inducing partially-defined instances with evolutionary algorithms.
2001,learning with the set covering machine.
2001,coupled clustering: a method for detecting structural correspondence.
2001,automatic discovery of subgoals in reinforcement learning using diverse density.
2001,some greedy algorithms for sparse nonlinear regression.
2001,"convergence rates of the voting gibbs classifier, with application to bayesian feature selection."
2001,ridge regression confidence machine.
2001,breeding decision trees using evolutionary techniques.
2001,mixtures of rectangles: interpretable soft clustering.
2001,lyapunov-constrained action sets for reinforcement learning.
2001,off-policy temporal difference learning with function approximation.
2001,multiple instance regression.
2001,comprehensible interpretation of relief's estimates.
2001,toward optimal active learning through sampling estimation of error reduction.
2001,using the genetic algorithm to reduce the size of a nearest-neighbor classifier and to select relevant attributes.
2001,repairing faulty mixture models using density estimation.
2001,application of fuzzy similarity-based fractal dimensions to characterize medical time series.
2001,average-reward reinforcement learning for variance penalized markov decision problems.
2001,incremental maximization of non-instance-averaging utility functions with applications to knowledge discovery problems.
2001,discovering communicable scientific knowledge from spatio-temporal data.
2001,clustering continuous time series.
2001,boosting neighborhood-based classifiers.
2001,unsupervised sequence segmentation by a mixture of switching variable memory markov sources.
2001,smoothed bootstrap and statistical data cloning for classifier evaluation.
2001,learning to generate fast signal processing implementations.
2001,scaling reinforcement learning toward robocup soccer.
2001,direct policy search using paired statistical tests.
2001,a multi-agent policy-gradient approach to network routing.
2001,improving probabilistic grammatical inference core algorithms with post-processing techniques.
2001,a procedure for unsupervised lexicon learning.
2001,constrained k-means clustering with background knowledge.
2001,reinforcement learning in dynamic environments using instantiated information.
2001,exploration control in reinforcement learning using optimistic model selection.
2001,feature selection for high-dimensional genomic microarray data.
2001,obtaining calibrated probability estimates from decision trees and naive bayesian classifiers.
2001,learnability of augmented naive bayes in nonimal domains.
2001,some sparse approximation bounds for regression problems.
2001,symmetry in markov decision processes and its implications for single agent and multiagent learning.
2002,scalable internal-state policy-gradient methods for pomdps.
2002,feature subset selection and inductive logic programming.
2002,pruning improves heuristic search for cost-sensitive learning.
2002,semi-supervised clustering by seeding.
2002,constraint-based learning of long relational concepts.
2002,exploiting relations among concepts to acquire weakly labeled training data.
2002,an epsilon-optimal grid-based algorithm for partially observable markov decision processes.
2002,transformation-based regression.
2002,a new statistical approach to personal name extraction.
2002,learning decision rules by randomized iterative local search.
2002,iems - the intelligent email sorter.
2002,exact model averaging with naive bayesian classifiers.
2002,anytime interval-valued outputs for kernel machines: fast support vector machine classification via distance geometry.
2002,action refinement in reinforcement learning by probability smoothing.
2002,integrating experimentation and guidance in relational reinforcement learning.
2002,is combining classifiers better than selecting the best one.
2002,fast minimum training error discretization.
2002,learning decision trees using the area under the roc curve.
2002,univariate polynomial inference by monte carlo message length approximation.
2002,an analysis of functional trees.
2002,descriptive induction through subgroup discovery: a case study in a medical domain.
2002,"on generalization bounds, projection profile, and margin distribution."
2002,multi-instance kernels.
2002,combining labeled and unlabeled data for multiclass text categorization.
2002,hierarchically optimal average reward reinforcement learning.
2002,sufficient dimensionality reduction - a novel analysis method.
2002,a unified decomposition of ensemble loss for predicting ensemble performance.
2002,graph-based relational concept learning.
2002,coordinated reinforcement learning.
2002,algorithm-directed exploration for model-based reinforcement learning in factored mdps.
2002,discovering hierarchy in reinforcement learning with hexq.
2002,classification value grouping.
2002,linkage and autocorrelation cause feature selection bias in relational learning.
2002,approximately optimal approximate reinforcement learning.
2002,an alternate objective function for markovian fields.
2002,interpreting and extending classical agglomerative clustering algorithms using a model-based approach.
2002,kernels for semi-structured data.
2002,a fast dual algorithm for kernel logistic regression.
2002,from instance-level constraints to space-level constraints: making the most of prior knowledge in data clustering.
2002,diffusion kernels on graphs and other discrete input spaces.
2002,learning the kernel matrix with semi-definite programming.
2002,combining trainig set and test set bounds.
2002,competitive analysis of the explore/exploit tradeoff.
2002,inducing process models from continuous data.
2002,reinforcement learning and shaping: encouraging intended behaviors.
2002,cranking: combining rankings using conditional probability models on permutations.
2002,learning to share distributed probabilistic beliefs.
2002,the perceptron algorithm with uneven margins.
2002,partially supervised classification of text documents.
2002,feature selection with selective sampling.
2002,investigating the maximum likelihood alternative to td(lambda).
2002,a necessary condition of convergence for reinforcement learning with function approximation.
2002,"towards ""large margin"" speech recognizers by boosting and discriminative training."
2002,learning word normalization using word suffix and context from unlabeled data.
2002,active + semi-supervised learning = robust multi-view learning.
2002,adaptive view validation: a first step towards automatic view detection.
2002,stock trading system using reinforcement learning with cooperative agents.
2002,learning k-reversible context-free grammars from positive structural examples.
2002,mmihmm: maximum mutual information hidden markov models.
2002,learning spatial and temporal correlation for navigation in a 2-dimensional continuous world.
2002,a boosted maximum entropy model for learning text chunking.
2002,on the existence of fixed points for q-learning and sarsa in partially observable domains.
2002,learning from scarce experience.
2002,policyblocks: an algorithm for creating useful macro-actions in reinforcement learning.
2002,using unlabelled data for text classification through addition of cluster parameters.
2002,using abstract models of behaviours to automatically generate reinforcement learning hierarchies.
2002,syllables and other string kernel extensions.
2002,incorporating prior knowledge into boosting.
2002,modeling auction price uncertainty using boosting-based conditional density estimation.
2002,how to make stacking better and faster while also taking care of an unknown weakness.
2002,model-based hierarchical average-reward reinforcement learning.
2002,separating skills from preference: using learning to program by reward.
2002,discriminative feature selection via multiclass variable memory markov model.
2002,learning to fly by controlling dynamic instabilities.
2002,randomized variable elimination.
2002,markov chain monte carlo sampling using direct search optimization.
2002,qualitative reverse engineering.
2002,finding an optimal gain-ratio subset-split test for a set-valued attribute in decision tree induction.
2002,refining the wrapper approach - smoothed error estimates for feature selection.
2002,sparse bayesian learning for regression and classification using markov chain monte carlo.
2002,issues in classifier evaluation using optimal cost curves.
2002,modeling for optimal probability prediction.
2002,mining both positive and negative association rules.
2002,non-disjoint discretization for naive-bayes classifiers.
2002,representational upper bounds of bayesian networks.
2002,content-based image retrieval using multiple-instance learning.
2002,"statistical behavior and consistency of support vector machines, boosting, and beyond."
2003,hidden markov support vector machines.
2003,learning distance functions using equivalence relations.
2003,online choice of active learning algorithms.
2003,learning logic programs for layout analysis correction.
2003,multi-objective programming in svms.
2003,regression error characteristic curves.
2003,choosing between two learning algorithms based on calibrated tests.
2003,incorporating diversity in active learning with support vector machines.
2003,the use of the ambiguity decomposition in neural network ensemble learning methods.
2003,tractable bayesian learning of tree augmented naive bayes models.
2003,awesome: a general multiagent learning algorithm that converges in self-play and learns a best response against stationary opponents.
2003,bl-wolf: a framework for loss-bounded learnability in zero-sum games.
2003,semi-supervised learning of mixture models.
2003,on kernel methods for relational learning.
2003,fast query-optimized kernel machine classification via incremental approximate nearest support vectors.
2003,relational instance based regression for relational reinforcement learning.
2003,design for an optimal probe.
2003,diffusion approximation for bayesian markov chains.
2003,using the triangle inequality to accelerate k-means.
2003,bayes meets bellman: the gaussian process approach to temporal difference learning.
2003,action elimination and stopping conditions for reinforcement learning.
2003,utilizing domain knowledge in neuroevolution.
2003,boosting lazy decision trees.
2003,random projection for high dimensional data clustering: a cluster ensemble approach.
2003,the geometry of roc space: understanding machine learning metrics through roc isometrics.
2003,an analysis of rule evaluation metrics.
2003,margin distribution and learning.
2003,perceptron based learning with example dependent and noisy costs.
2003,hierarchical policy gradient algorithms.
2003,solving noisy linear operator equations by gaussian processes: application to ordinary and partial differential equations.
2003,correlated q-learning.
2003,online ranking/collaborative filtering using the perceptron algorithm.
2003,goal-directed learning to fly.
2003,probabilistic classifiers and the concepts they recognize.
2003,avoiding bias when aggregating relational data with degree disparity.
2003,a faster iterative scaling algorithm for conditional exponential model.
2003,transductive learning via spectral graph partitioning.
2003,evolving strategies for focused web crawling.
2003,exploration in metric state spaces.
2003,representational issues in meta-learning.
2003,marginalized kernels between labeled graphs.
2003,informative discriminant analysis.
2003,characteristics of long-term learning in soar and its application to the utility problem.
2003,unsupervised learning with permuted data.
2003,discriminative gaussian mixture models: a comparison with kernel classifiers.
2003,a kernel between sets of vectors.
2003,the significance of temporal-difference learning in self-play training td-rummy versus evo-rummy.
2003,visual learning by evolutionary feature synthesis.
2003,classification of text documents based on minimum system entropy.
2003,finding underlying connections: a fast graph-based method for link analysis and collaboration queries.
2003,learning with idealized kernels.
2003,the pre-image problem in kernel methods.
2003,improving accuracy and cost of two-class and multi-class probabilistic classifiers using roc curves.
2003,reinforcement learning as classification: leveraging modern classifiers.
2003,robust induction of process models from time-series data.
2003,the influence of reward on the speed of reinforcement learning: an analysis of shaping.
2003,learning with positive and unlabeled examples using weighted logistic regression.
2003,linear programming boosting for uneven datasets.
2003,text classification using stochastic keyword generation.
2003,a loss function analysis for classification methods in text categorization.
2003,decision tree with better ranking.
2003,an evaluation on feature selection for text clustering.
2003,link-based classification.
2003,hierarchical latent knowledge analysis for co-occurrence data.
2003,the cross entropy method for fast policy search.
2003,the set covering machine with data-dependent half-spaces.
2003,identifying predictive structures in relational data using multiple instance learning.
2003,planning in the presence of cost functions controlled by an adversary.
2003,using linear-threshold algorithms to combine multi-class sub-experts.
2003,optimal reinsertion: a new search operator for accelerated and more accurate bayesian network structure learning.
2003,error bounds for approximate policy iteration.
2003,machine learning with hyperkernels.
2003,justification-based multiagent learning.
2003,mixtures of conditional maximum entropy models.
2003,online feature selection using grafting.
2003,weighted order statistic classifiers with large rank-order margin.
2003,relativized options: choosing the right transformation.
2003,tackling the poor assumptions of naive bayes text classifiers.
2003,learning with knowledge from multiple experts.
2003,combining td-learning with cascade-correlation networks.
2003,kernel pls-svc for linear and nonlinear classification.
2003,stochastic local search in k-term dnf learning.
2003,q-decomposition for reinforcement learning agents.
2003,adaptive overrelaxed bound optimization methods.
2003,optimization with em and expectation-conjugate-gradient.
2003,td(0) converges provably faster than the residual gradient algorithm.
2003,on state merging in grammatical inference: a statistical approach for dealing with noisy data.
2003,text bundling: statistics based data-reduction.
2003,flexible mixture model for collaborative filtering.
2003,learning predictive state representations.
2003,weighted low-rank approximations.
2003,learning to cooperate in a social dilemma: a satisficing approach to bargaining.
2003,evolutionary mcmc sampling and optimization in discrete spaces.
2003,learning on the test data: leveraging unseen features.
2003,low bias bagged support vector machines.
2003,simplesvm.
2003,testing exchangeability on-line.
2003,model-based policy gradient reinforcement learning.
2003,learning mixture models with the latent maximum entropy principle.
2003,principled methods for advising reinforcement learning agents.
2003,distill: learning domain-specific planners by example.
2003,bayesian network anomaly pattern detection for disease outbreaks.
2003,adaptive feature-space conformal transformation for imbalanced-data learning.
2003,new í-support vector machines and their sequential minimal optimization.
2003,cross-entropy directed embedding of network data.
2003,decision-tree induction from time-series data based on a standard-example split test.
2003,optimizing classifier performance via an approximation to the wilcoxon-mann-whitney statistic.
2003,feature selection for high-dimensional data: a fast correlation-based filter solution.
2003,isometric embedding and continuum isomap.
2003,learning metrics via discriminant kernels and multidimensional scaling: toward expected euclidean representation.
2003,learning from attribute value taxonomies and partially specified instances.
2003,modified logistic regression: an approximation to svm and its applications in large-scale text categorization.
2003,exploration and exploitation in adaptive filtering based on bayesian active learning.
2003,on the convergence of boosting procedures.
2003,semi-supervised learning using gaussian fields and harmonic functions.
2003,eliminating class noise in large datasets.
2003,online convex programming and generalized infinitesimal gradient ascent.
2004,active learning of label ranking functions.
2004,solving large scale linear prediction problems using stochastic gradient descent algorithms.
2004,hyperplane margin classifiers on the multinomial manifold.
2004,a comparative study on methods for reducing myopia of hill-climbing search in multirelational learning.
2004,probabilistic score estimation with piecewise logistic regression.
2004,boosting grammatical inference with confidence oracles.
2004,kernel conditional random fields: representation and clique selection.
2004,estimating replicability of classifier learning experiments.
2004,learning bayesian network classifiers by maximizing conditional likelihood.
2004,online learning of conditionally i.i.d. data.
2004,support vector machine learning for interdependent and structured output spaces.
2004,surrogate maximization/minimization algorithms for adaboost and the logistic regression model.
2004,learning to track 3d human motion from silhouettes.
2004,leveraging the margin more carefully.
2004,learning a kernel matrix for nonlinear dimensionality reduction.
2004,utile distinction hidden markov models.
2004,generalized low rank approximations of matrices.
2004,feature extraction via generalized uncorrelated linear discriminant analysis.
2004,active learning using pre-clustering.
2004,co-em support vector learning.
2004,communication complexity as a lower bound for learning in games.
2004,margin based feature selection - theory and algorithms.
2004,using relative novelty to identify useful temporal abstractions in reinforcement learning.
2004,a graphical model for protein secondary structure prediction.
2004,dynamic abstraction in reinforcement learning via clustering.
2004,a pitfall and solution in multi-class feature selection for text classification.
2004,a spatio-temporal extension to isomap nonlinear dimension reduction.
2004,the bayesian backfitting relevance vector machine.
2004,learning and discovery of predictive state representations in dynamical systems with reset.
2004,integrating constraints and metric learning in semi-supervised clustering.
2004,a mfom learning approach to robust multiclass multi-label text categorization.
2004,probabilistic tangent subspace: a unified view.
2004,ensembles of nested dichotomies for multi-class problems.
2004,gradient lasso for feature selection.
2004,learning large margin classifiers locally and globally.
2004,optimising area under the roc curve using gradient descent.
2004,parameter space exploration with gaussian process trees.
2004,bayesian inference for transductive learning of kernel matrix using the tanner-wong data augmentation algorithm.
2004,decision trees with minimal costs.
2004,robust feature induction for support vector machines.
2004,generative modeling for continuous non-linearly embedded visual inference.
2004,incremental learning of linear model trees.
2004,lookahead-based algorithms for anytime induction of decision trees.
2004,large margin hierarchical classification.
2004,sequential information bottleneck for finite data.
2004,online and batch learning of pseudo-metrics.
2004,testing the significance of attribute interactions.
2004,feature subset selection for learning preferences: a case study.
2004,a multiplicative up-propagation algorithm.
2004,coalition calculation in a dynamic agent environment.
2004,efficient hierarchical mcmc for policy search.
2004,learning to learn with the informative vector machine.
2004,"kernel-based discriminative learning algorithms for labeling sequences, trees, and graphs."
2004,learning to fly by combining reinforcement learning with behavioural cloning.
2004,diverse ensembles for active learning.
2004,a monte carlo analysis of ensemble classification.
2004,towards tight bounds for rule learning.
2004,text categorization with many redundant features: using aggressive feature selection to make svms competitive with c4.5.
2004,boosting margin based distance functions for clustering.
2004,convergence of synchronous reinforcement learning with linear function approximation.
2004,locally linear metric adaptation for semi-supervised clustering.
2004,sequential skewing: an improved skewing algorithm.
2004,automated hierarchical mixtures of probabilistic principal component analyzers.
2004,unifying collaborative and content-based filtering.
2004,delegating classifiers.
2004,approximate inference by markov chains on union spaces.
2004,redundant feature elimination for multi-class problems.
2004,c4.5 competence map: a phase transition-inspired approach.
2004,a needle in a haystack: local one-class optimization.
2004,model selection via the auc.
2004,bellman goes relational.
2004,bias and variance in value function estimation.
2004,learning to cluster using local neighborhood structure.
2004,entropy-based criterion in categorical clustering.
2004,svm-based generalized multiple-instance learning via approximate box counting.
2004,tractable learning of large bayes net structures from sparse data.
2004,linearized cluster assignment via spectral ordering.
2004,k-means clustering via principal component analysis.
2004,a fast iterative algorithm for fisher discriminant using heterogeneous kernels.
2004,sparse cooperative q-learning.
2004,adaptive cognitive orthotics: combining reinforcement learning and constraint-based temporal reasoning.
2004,a maximum entropy approach to species distribution modeling.
2004,learning probabilistic motion models for mobile robots.
2004,solving cluster ensemble problems by bipartite graph partitioning.
2004,"links between perceptrons, mlps and svms."
2004,nonparametric classification with polynomial mpmc cascades.
2004,a kernel view of the dimensionality reduction of manifolds.
2004,predictive automatic relevance determination by expectation propagation.
2004,take a walk and cluster genes: a tsp-based approach to optimal rearrangement clustering.
2004,relational sequential inference with reliable observations.
2004,a theoretical characterization of linear svm-based feature selection.
2004,dynamic conditional random fields: factorized probabilistic models for labeling and segmenting sequence data.
2004,bayesian haplo-type inference via the dirichlet process.
2004,"multiple kernel learning, conic duality, and the smo algorithm."
2004,learning and evaluating classifiers under sample selection bias.
2004,multi-task feature and kernel selection for svms.
2004,a hierarchical method for multi-class support vector machines.
2004,training conditional random fields via gradient tree boosting.
2004,semi-supervised learning using randomized mincuts.
2004,apprenticeship learning via inverse reinforcement learning.
2004,an information theoretic analysis of maximum likelihood mixture estimation for exponential families.
2004,ensemble selection from libraries of models.
2004,gaussian process classification for segmenting and annotating sequences.
2004,distribution kernels based on moments of counts.
2004,improving svm accuracy by training on auxiliary data sources.
2004,the multiple multiplicative factor model for collaborative filtering.
2004,decentralized detection and classification using kernel methods.
2004,variational methods for the dirichlet process.
2004,"p3vi: a partitioned, prioritized, parallel value iterator."
2004,learning low dimensional predictive representations.
2004,learning random walk models for inducing word dependency distributions.
2004,learning with non-positive kernels.
2004,learning associative markov networks.
2004,interpolation-based q-learning.
2004,extensions of marginalized graph kernels.
2004,learning first-order rules from data with multiple parts: applications on mining chemical compound data.
2004,authorship verification as a one-class classification problem.
2005,exploration and apprenticeship learning in reinforcement learning.
2005,active learning for hidden markov models: objective functions and algorithms.
2005,tempering for bayesian c&rt.
2005,fast condensed nearest neighbor rule.
2005,predictive low-rank decomposition for kernel methods.
2005,multi-way distributional clustering via pairwise interactions.
2005,error limiting reductions between classification tasks.
2005,multi-instance tree learning.
2005,action respecting embedding.
2005,clustering through ranking on manifolds.
2005,reducing overfitting in process model induction.
2005,learning to rank using gradient descent.
2005,learning class-discriminative dynamic bayesian networks.
2005,"recognition and reproduction of gestures using a probabilistic framework combining pca, ica and hmm."
2005,predicting probability distributions for surf height using an ensemble of mixture density networks.
2005,hedged learning: regret-minimization with learning experts.
2005,variational bayesian image modelling.
2005,preference learning with gaussian processes.
2005,new approaches to support vector ordinal regression.
2005,a general regression technique for learning transductions.
2005,"learning to compete, compromise, and cooperate in repeated general-sum games."
2005,learning as search optimization: approximate large margin methods for structured prediction.
2005,multimodal oriented discriminant analysis.
2005,a practical generalization of fourier-based learning.
2005,combining model-based and instance-based learning for first order regression.
2005,reinforcement learning with gaussian processes.
2005,experimental comparison between bagging and monte carlo ensemble classification.
2005,supervised clustering with support vector machines.
2005,optimal assignment kernels for attributed molecular graphs.
2005,closed-form dual perturb and combine for tree-based models.
2005,hierarchic bayesian models for kernel learning.
2005,online feature selection for pixel classification.
2005,learning strategies for story comprehension: a reinforcement learning approach.
2005,near-optimal sensor placements in gaussian processes.
2005,robust one-class clustering using hybrid global and local search.
2005,statistical and computational analysis of locality preserving projection.
2005,intrinsic dimensionality estimation of submanifolds in rd.
2005,bayesian hierarchical clustering.
2005,online learning over graphs.
2005,adapting two-class support vector classification methods to many class problems.
2005,a martingale framework for concept change detection in time-varying data streams.
2005,multi-class protein fold recognition using adaptive codes.
2005,learning approximate preconditions for methods in hierarchical plans.
2005,evaluating machine learning for information extraction.
2005,learn to weight terms in information retrieval using category information.
2005,a smoothed boosting algorithm using probabilistic output codes.
2005,efficient discriminative learning of bayesian network classifier via boosted augmented naive bayes.
2005,a support vector method for multivariate performance measures.
2005,error bounds for correlation clustering.
2005,interactive learning of mappings from visual percepts to actions.
2005,a causal approach to hierarchical decomposition of factored mdps.
2005,a comparison of tight generalization error bounds.
2005,generalized lars as an effective feature selection tool for text classification with svms.
2005,ensembles of biased classifiers.
2005,computational aspects of bayesian partition models.
2005,learning the structure of markov logic networks.
2005,using additive expert ensembles to cope with concept drift.
2005,semi-supervised graph clustering: a kernel approach.
2005,a brain computer interface with online feedback based on magnetoencephalography.
2005,relating reinforcement learning performance to classification performance.
2005,pac-bayes risk bounds for sample-compressed gibbs classifiers.
2005,heteroscedastic gaussian process regression.
2005,predicting relative performance of classifiers from samples.
2005,logistic regression with an auxiliary data source.
2005,predicting protein folds with structural repeats using a chain graph model.
2005,unsupervised evidence integration.
2005,naive bayes models for probability estimation.
2005,roc confidence bands: an empirical evaluation.
2005,modeling word burstiness using the dirichlet distribution.
